vehicle_record_id,observation_id,batch_no,model_code,brand,manufacturer,product_name,common_name,detail_url,publish_date,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,vehicle_tax_match_flag,purchase_tax_match_flag,multi_enterprise_count,multi_brand_flag,tax_catalog_match_flag
401:BJ7001,401:BJ7001:confirmed,401,BJ7001,极狐(ARCFOX),北汽蓝谷麦格纳汽车有限公司,纯电动轿车,αS6 HI,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,45,一、汽车生产企业,0,1,1,0,1
401:BYD6476,401:BYD6476:confirmed,401,BYD6476,比亚迪,比亚迪汽车工业有限公司,插电式混合动力多用途乘用车,比亚迪宋pro,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,79,一、汽车生产企业,1,1,1,0,1
401:BYD6490,401:BYD6490:confirmed,401,BYD6490,比亚迪,比亚迪汽车工业有限公司,插电式混合动力多用途乘用车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,79,一、汽车生产企业,0,0,1,0,0
401:BYD7150,401:BYD7150:confirmed,401,BYD7150,比亚迪,比亚迪汽车工业有限公司,插电式混合动力轿车,比亚迪海豹06,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,1,1,1,0,1
401:BYD7151,401:BYD7151:confirmed,401,BYD7151,比亚迪,比亚迪汽车工业有限公司,插电式混合动力轿车,比亚迪海豹07,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,1,1,1,0,1
401:BYD7153,401:BYD7153:confirmed,401,BYD7153,比亚迪,比亚迪汽车工业有限公司,插电式混合动力轿车,比亚迪秦L,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,1,1,1,0,1
401:BYD7155,401:BYD7155:confirmed,401,BYD7155,比亚迪,比亚迪汽车工业有限公司,插电式混合动力轿车,比亚迪秦PLUS,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,1,1,1,0,1
401:BYD7156,401:BYD7156:confirmed,401,BYD7156,比亚迪,比亚迪汽车工业有限公司,插电式混合动力轿车,比亚迪海豹05,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,1,1,1,0,1
401:BZL5032X,401:BZL5032X:confirmed,401,BZL5032X,京龙,霸州市京龙车辆有限责任公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(三)145,一、汽车生产企业,0,0,1,0,0
401:BZL5033X,401:BZL5033X:confirmed,401,BZL5033X,京龙,霸州市京龙车辆有限责任公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(三)145,一、汽车生产企业,0,0,1,0,0
401:CA6482,401:CA6482:confirmed,401,CA6482,红旗,中国第一汽车集团有限公司,纯电动多用途乘用车,天工06,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,1,一、汽车生产企业,0,1,1,0,1
401:CA7009,401:CA7009:confirmed,401,CA7009,一汽,中国第一汽车集团有限公司,纯电动轿车,悦意08,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,1,一、汽车生产企业,0,1,1,1,1
401:CAA5071X,401:CAA5071X:confirmed,401,CAA5071X,同锐通,湖北东神专用汽车有限公司,插电式混合动力旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)186,一、汽车生产企业,0,0,1,0,0
401:CC6430,401:CC6430:confirmed,401,CC6430,欧拉,长城汽车股份有限公司,纯电动多用途乘用车,欧拉好猫,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,15,一、汽车生产企业,0,1,1,0,1
401:CC6470,401:CC6470:confirmed,401,CC6470,哈弗,长城汽车股份有限公司,插电式混合动力多用途乘用车,哈弗大狗PLUS,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,15,一、汽车生产企业,1,1,1,0,1
401:CC6480,401:CC6480:confirmed,401,CC6480,哈弗,长城汽车股份有限公司,插电式混合动力多用途乘用车,哈弗枭龙MAX,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,15,一、汽车生产企业,1,1,1,0,1
401:CFC5030X,401:CFC5030X:confirmed,401,CFC5030X,长沣,长沣（湖北）汽车有限公司,插电式混合动力旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)256,一、汽车生产企业,0,1,1,0,1
401:CSZ5032X,401:CSZ5032X:confirmed,401,CSZ5032X,华东,常熟华东汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十)36,一、汽车生产企业,0,0,1,0,0
401:DD1033,401:DD1033:confirmed,401,DD1033,黄海,丹东黄海汽车有限责任公司,多用途货车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,29,一、汽车生产企业,0,0,1,0,0
401:DFL7162,401:DFL7162:confirmed,401,DFL7162,东风日产,东风汽车有限公司,轿车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,轿车,passenger_vehicle,sedan,in_scope,3,一、汽车生产企业,0,0,1,0,0
401:DFM6473,401:DFM6473:confirmed,401,DFM6473,东风,东风汽车集团有限公司,纯电动多用途乘用车,风神L7,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,1,1,1,0,1
401:DFM6480,401:DFM6480:confirmed,401,DFM6480,东风,东风汽车集团有限公司,插电式混合动力多用途乘用车,风神L8,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,1,1,1,0,1
401:DFM7000,401:DFM7000:confirmed,401,DFM7000,东风,东风汽车集团有限公司,纯电动轿车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,3,一、汽车生产企业,0,0,1,0,0
401:DJV5030X,401:DJV5030X:confirmed,401,DJV5030X,东嘉加乐,南充东嘉新能源汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(二十二)68,一、汽车生产企业,0,0,1,0,0
401:DXK6481,401:DXK6481:confirmed,401,DXK6481,赛力斯蓝电,赛力斯汽车（湖北）有限公司,插电式混合动力多用途乘用车,蓝电E5 PLUS,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,1,1,1,0,1
401:DXK6510,401:DXK6510:confirmed,401,DXK6510,瑞驰,赛力斯汽车（湖北）有限公司,纯电动多用途乘用车,瑞驰 EC75,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,0,1,1,0,1
401:DXK6520,401:DXK6520:confirmed,401,DXK6520,瑞驰,赛力斯汽车（湖北）有限公司,纯电动多用途乘用车,瑞驰 R5,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,3,一、汽车生产企业,0,1,1,0,1
401:DXM5100X,401:DXM5100X:confirmed,401,DXM5100X,曼恩拓,大连新重汽特种汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(六)101,一、汽车生产企业,0,0,1,0,0
401:EZW5081X,401:EZW5081X:confirmed,401,EZW5081X,楚韵,湖北中威专用汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)123,一、汽车生产企业,0,0,1,0,0
401:FHA5062X,401:FHA5062X:confirmed,401,FHA5062X,景飞,上海辅恒汽车技术有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(九)50,一、汽车生产企业,0,0,1,0,0
401:GAT5041X,401:GAT5041X:confirmed,401,GAT5041X,柯铃通,河南爱旅途汽车制造有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十六)170,一、汽车生产企业,0,0,1,0,0
401:GAT5042X,401:GAT5042X:confirmed,401,GAT5042X,柯铃通,河南爱旅途汽车制造有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十六)170,一、汽车生产企业,0,0,1,0,0
401:GXC5060X,401:GXC5060X:confirmed,401,GXC5060X,歌睿途,河南星辰汽车装备有限公司,插电式增程混合动力旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式增程混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十六)143,一、汽车生产企业,0,0,1,0,0
401:HQ6431,401:HQ6431:confirmed,401,HQ6431,精灵(smart),浙江豪情汽车制造有限公司,纯电动多用途乘用车,精灵#1,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,52,一、汽车生产企业,0,1,1,0,1
401:HQ6472,401:HQ6472:confirmed,401,HQ6472,吉利,浙江豪情汽车制造有限公司,插电式混合动力运动型乘用车,银河星舰7,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力运动型乘用车,passenger_vehicle,suv_mpv,in_scope,52,一、汽车生产企业,1,1,1,0,1
401:HRD5060X,401:HRD5060X:confirmed,401,HRD5060X,恒诚睿德,湖北恒诚汽车科技有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)258,一、汽车生产企业,0,0,1,0,0
401:HTL5041X,401:HTL5041X:confirmed,401,HTL5041X,聊工,聊城聊工工程机械有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十五)225,一、汽车生产企业,0,0,1,0,0
401:JBG5061X,401:JBG5061X:confirmed,401,JBG5061X,新星房车,江苏新星际华汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十)146,一、汽车生产企业,0,0,1,0,0
401:JHC6547,401:JHC6547:confirmed,401,JHC6547,远程,山西新能源汽车工业有限公司,纯电动多用途乘用车,远程V8E,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,25,一、汽车生产企业,0,1,1,0,1
401:JKC6450,401:JKC6450:confirmed,401,JKC6450,鑫源,鑫源汽车有限公司,纯电动多用途乘用车,好运,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,0,1,1,0,1
401:JKC6460,401:JKC6460:confirmed,401,JKC6460,鑫源,鑫源汽车有限公司,纯电动多用途乘用车,E3,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,0,1,1,0,1
401:JKC6472,401:JKC6472:confirmed,401,JKC6472,鑫源,鑫源汽车有限公司,纯电动多用途乘用车,116,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,0,1,1,0,1
401:JKC6490,401:JKC6490:confirmed,401,JKC6490,鑫源,鑫源汽车有限公司,纯电动多用途乘用车,E3L,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,146,一、汽车生产企业,0,1,1,0,1
401:JMT5034X,401:JMT5034X:confirmed,401,JMT5034X,江铃江特,江西江铃集团特种专用车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十四)20,一、汽车生产企业,0,0,1,0,0
401:JX1037,401:JX1037:confirmed,401,JX1037,江铃,江铃汽车股份有限公司,多用途货车 / 多用途货车底盘,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,0,0,1,0,0
401:JX6491,401:JX6491:confirmed,401,JX6491,江铃,江铃汽车股份有限公司,纯电动多用途乘用车,江铃 E福顺,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,0,1,1,0,1
401:JX6497,401:JX6497:confirmed,401,JX6497,福特,江铃汽车股份有限公司,插电式混合动力多用途乘用车,EQUATOR,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,0,1,1,0,1
401:JX6508,401:JX6508:confirmed,401,JX6508,福特,江铃汽车股份有限公司,插电式增程混合动力多用途乘用车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式增程混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,0,0,1,0,0
401:JX6521,401:JX6521:confirmed,401,JX6521,江铃,江铃汽车股份有限公司,纯电动多用途乘用车,江铃 E福顺,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,0,1,1,0,1
401:JXW1031,401:JXW1031:confirmed,401,JXW1031,江西五十铃,江西五十铃汽车有限公司,多用途货车 / 多用途货车底盘,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,61,一、汽车生产企业,0,0,1,0,0
401:LMC5150X,401:LMC5150X:confirmed,401,LMC5150X,享呗,广东利民人防工程科技有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十九)104,一、汽车生产企业,0,0,1,0,0
401:LZ6460,401:LZ6460:confirmed,401,LZ6460,东风,东风柳州汽车有限公司,纯电动多用途乘用车,雷霆、星海X5、星海T5 PLUS、星海T5,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,91,一、汽车生产企业,0,1,1,0,1
401:LZ6520,401:LZ6520:confirmed,401,LZ6520,东风,东风柳州汽车有限公司,多用途乘用车 / 插电式混合动力多用途乘用车,V9,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途乘用车,passenger_vehicle,suv_mpv,in_scope,91,一、汽车生产企业,0,1,1,0,1
401:LZR5030X,401:LZR5030X:confirmed,401,LZR5030X,览众之星,河北览众专用汽车制造有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(三)83,一、汽车生产企业,1,0,1,0,1
401:LZW6402,401:LZW6402:confirmed,401,LZW6402,宝骏,上汽通用五菱汽车股份有限公司,纯电动运动型乘用车,悦也plus,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动运动型乘用车,passenger_vehicle,suv_mpv,in_scope,92,一、汽车生产企业,0,1,1,0,1
401:LZW6453,401:LZW6453:confirmed,401,LZW6453,五菱,上汽通用五菱汽车股份有限公司,多用途乘用车 / 纯电动多用途乘用车,五菱荣光,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途乘用车,passenger_vehicle,suv_mpv,in_scope,92,一、汽车生产企业,0,1,1,0,1
401:LZW6500,401:LZW6500:confirmed,401,LZW6500,五菱,上汽通用五菱汽车股份有限公司,纯电动多用途乘用车,五菱扬光,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,92,一、汽车生产企业,0,1,1,0,1
401:LZW6550,401:LZW6550:confirmed,401,LZW6550,五菱,上汽通用五菱汽车股份有限公司,纯电动多用途乘用车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,92,一、汽车生产企业,0,0,1,0,0
401:LZX5100X,401:LZX5100X:confirmed,401,LZX5100X,华悦达,湖北旭帆专用汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)114,一、汽车生产企业,0,0,1,0,0
401:LZX5240X,401:LZX5240X:confirmed,401,LZX5240X,华悦达,湖北旭帆专用汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)114,一、汽车生产企业,0,0,1,0,0
401:MBK5038X,401:MBK5038X:confirmed,401,MBK5038X,麦卡佰客,青岛麦卡佰客专用车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十五)556,一、汽车生产企业,0,0,1,0,0
401:MR7151,401:MR7151:confirmed,401,MR7151,吉利,浙江吉利汽车有限公司,轿车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,轿车,passenger_vehicle,sedan,in_scope,52,一、汽车生产企业,0,0,1,0,0
401:MRN5100X,401:MRN5100X:confirmed,401,MRN5100X,阿娜蕥,东莞市阿娜亚专用汽车制造有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十九)94,一、汽车生产企业,0,0,1,0,0
401:NAL7000,401:NAL7000:confirmed,401,NAL7000,萤火虫,蔚来汽车科技（安徽）有限公司,换电式纯电动轿车,萤火虫,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,换电式纯电动轿车,passenger_vehicle,sedan,in_scope,214,一、汽车生产企业,0,1,1,0,1
401:NEQ6430,401:NEQ6430:confirmed,401,NEQ6430,奇瑞,奇瑞新能源汽车股份有限公司,纯电动多用途乘用车,X3,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,174,一、汽车生产企业,0,1,1,0,1
401:NEQ6440,401:NEQ6440:confirmed,401,NEQ6440,奇瑞,奇瑞新能源汽车股份有限公司,纯电动多用途乘用车,X3,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,174,一、汽车生产企业,0,1,1,0,1
401:NEQ6450,401:NEQ6450:confirmed,401,NEQ6450,奇瑞,奇瑞新能源汽车股份有限公司,插电式增程混合动力多用途乘用车,X3L,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式增程混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,174,一、汽车生产企业,1,1,1,0,1
401:NEQ6490,401:NEQ6490:confirmed,401,NEQ6490,爱咖,奇瑞新能源汽车股份有限公司,插电式增程混合动力多用途乘用车,V27,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式增程混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,174,一、汽车生产企业,1,1,1,0,1
401:NEQ6510,401:NEQ6510:confirmed,401,NEQ6510,爱咖,奇瑞新能源汽车股份有限公司,插电式增程混合动力多用途乘用车,V27,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式增程混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,174,一、汽车生产企业,1,1,1,0,1
