order_number,product_name,lock_time,config_version,attribute,value,value_code,code,included
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,外饰,阿尔卑斯白,EX1-WSE,EX1-WSE,True
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,是,Y,Y,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,方向盘,全幅柔感瞬热方向盘,Full,Full,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,内饰,大象灰棕,IN3-ASA,IN3-ASA,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,全线控转向系统,是,Y,Y,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,已选,奢华智选包及一体式超广域探射灯,Plus,Plus,True
SO000497988145821,智己LS8 66 Ultra 科技旗舰大五座,2026-04-17 10:42:12,科技旗舰大五座 66 Ultra,IM 智控地暖系统,是,Y,Y,True
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,内饰,大象灰米,IN2-AMA,IN2-AMA,True
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,全线控转向系统,否,N,N,False
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,外饰,阿尔卑斯白,EX1-WSE,EX1-WSE,True
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,已选,超远距高精度激光雷达,Stand,Stand,True
SO000552344899253,智己LS8 66 Ultra 科技旗舰大五座,2026-04-26 10:17:28,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,内饰,大象灰棕,IN3-ASA,IN3-ASA,True
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000553462809898,智己LS8 52 Max+ 科技旗舰大五座,2026-05-05 16:37:50,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,外饰,阿尔卑斯白,EX1-WSE,EX1-WSE,True
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000559991582441,智己LS8 52 Max+ 科技旗舰大五座,2026-06-17 16:42:32,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000575415150117,智己LS8 52 Max+ 奢享大六座,2026-04-17 15:23:35,奢享大六座 52 Max+,方向盘,全幅柔感瞬热方向盘,Full,Full,True
SO000575415150117,智己LS8 52 Max+ 奢享大六座,2026-04-17 15:23:35,奢享大六座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000575415150117,智己LS8 52 Max+ 奢享大六座,2026-04-17 15:23:35,奢享大六座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000575415150117,智己LS8 52 Max+ 奢享大六座,2026-04-17 15:23:35,奢享大六座 52 Max+,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000575415150117,智己LS8 52 Max+ 奢享大六座,2026-04-17 15:23:35,奢享大六座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000575415150117,智己LS8 52 Max+ 奢享大六座,2026-04-17 15:23:35,奢享大六座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,内饰,大象灰米,IN2-AMA,IN2-AMA,True
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000696784845603,智己LS8 52 Max+ 科技旗舰大五座,2026-06-07 11:28:35,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,全线控转向系统,否,N,N,False
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,外饰,阿尔卑斯白,EX1-WSE,EX1-WSE,True
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO000743618990102,智己LS8 66 Ultra 科技旗舰大五座,2026-06-19 14:11:26,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO000960142058621,智己LS8 52 Max+ 奢享大六座,2026-05-14 14:51:21,奢享大六座 52 Max+,方向盘,全幅柔感瞬热方向盘,Full,Full,True
SO000960142058621,智己LS8 52 Max+ 奢享大六座,2026-05-14 14:51:21,奢享大六座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000960142058621,智己LS8 52 Max+ 奢享大六座,2026-05-14 14:51:21,奢享大六座 52 Max+,内饰,大象灰棕,IN3-ASA,IN3-ASA,True
SO000960142058621,智己LS8 52 Max+ 奢享大六座,2026-05-14 14:51:21,奢享大六座 52 Max+,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000960142058621,智己LS8 52 Max+ 奢享大六座,2026-05-14 14:51:21,奢享大六座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000960142058621,智己LS8 52 Max+ 奢享大六座,2026-05-14 14:51:21,奢享大六座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000971701802168,智己LS8 52 Max+ 奢享大六座,2026-04-18 10:01:52,奢享大六座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000971701802168,智己LS8 52 Max+ 奢享大六座,2026-04-18 10:01:52,奢享大六座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000971701802168,智己LS8 52 Max+ 奢享大六座,2026-04-18 10:01:52,奢享大六座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000971701802168,智己LS8 52 Max+ 奢享大六座,2026-04-18 10:01:52,奢享大六座 52 Max+,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO000971701802168,智己LS8 52 Max+ 奢享大六座,2026-04-18 10:01:52,奢享大六座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000971701802168,智己LS8 52 Max+ 奢享大六座,2026-04-18 10:01:52,奢享大六座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,内饰,大象灰棕,IN3-ASA,IN3-ASA,True
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,全线控转向系统,是,Y,Y,True
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO000981101401232,智己LS8 66 Ultra 科技旗舰大五座,2026-04-16 20:29:33,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,全线控转向系统,是,Y,Y,True
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO001130969290316,智己LS8 66 Ultra 科技旗舰大五座,2026-04-23 10:53:05,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO001481734337714,智己LS8 52 Max+ 科技旗舰大五座,2026-06-14 18:45:08,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,全线控转向系统,否,N,N,False
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO001520323057579,智己LS8 66 Ultra 科技旗舰大五座,2026-05-01 16:18:46,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO001634004858193,智己LS8 52 Max+ 科技旗舰大五座,2026-05-08 20:59:40,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,内饰,大象灰棕,IN3-ASA,IN3-ASA,True
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,外饰,阿尔卑斯白,EX1-WSE,EX1-WSE,True
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO001817320287050,智己LS8 52 Max+ 科技旗舰大五座,2026-07-14 22:30:16,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,方向盘,全幅柔感瞬热方向盘,Full,Full,True
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,内饰,大象灰米,IN2-AMA,IN2-AMA,True
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,全线控转向系统,否,N,N,False
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO001871061601818,智己LS8 66 Ultra 科技旗舰大五座,2026-05-26 16:43:39,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO001877931108428,智己LS8 52 Max+ 科技旗舰大五座,2026-06-15 21:15:36,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO001877931108428,智己LS8 52 Max+ 科技旗舰大五座,2026-06-15 21:15:36,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO001877931108428,智己LS8 52 Max+ 科技旗舰大五座,2026-06-15 21:15:36,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO001877931108428,智己LS8 52 Max+ 科技旗舰大五座,2026-06-15 21:15:36,科技旗舰大五座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO001877931108428,智己LS8 52 Max+ 科技旗舰大五座,2026-06-15 21:15:36,科技旗舰大五座 52 Max+,外饰,乔戈里银,EX1-SSA,EX1-SSA,True
SO001877931108428,智己LS8 52 Max+ 科技旗舰大五座,2026-06-15 21:15:36,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
